NNS,VBP,IN,JJ,NNP,NN,VBG,VBN,VBD,VBZ,NNPS,VB,RB,MD,JJR,JJS,CD,RP,CC,WP$,DT,RBR,WP,UH,PDT,EX,PRP,$,WDT,WRB,FW,RBS,'',SYM,sentence_count,word_count
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128.0,9.0,20.0,127.0,241.0,231.0,28.0,64.0,42.0,9.0,6.0,40.0,33.0,16.0,3.0,4.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,1902.0
38.0,7.0,4.0,67.0,134.0,96.0,17.0,20.0,23.0,11.0,4.0,37.0,18.0,8.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,855.0
12.0,3.0,2.0,23.0,32.0,60.0,3.0,7.0,15.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,282.0
58.0,1.0,2.0,75.0,80.0,79.0,14.0,11.0,8.0,5.0,1.0,15.0,23.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,691.0
70.0,4.0,3.0,100.0,183.0,140.0,27.0,15.0,31.0,10.0,4.0,35.0,21.0,4.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,1069.0
39.0,7.0,5.0,61.0,86.0,103.0,20.0,10.0,16.0,8.0,1.0,21.0,15.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,704.0
66.0,6.0,6.0,83.0,59.0,136.0,25.0,15.0,7.0,4.0,0.0,17.0,34.0,3.0,2.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,862.0
3.0,0.0,2.0,3.0,15.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,54.0
31.0,0.0,3.0,33.0,62.0,70.0,12.0,6.0,16.0,1.0,0.0,14.0,4.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,456.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.0,1.0,3.0,20.0,51.0,35.0,12.0,6.0,10.0,1.0,1.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,280.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27.0,0.0,1.0,23.0,95.0,48.0,8.0,11.0,21.0,1.0,2.0,6.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,424.0
87.0,8.0,14.0,139.0,167.0,239.0,37.0,36.0,14.0,23.0,2.0,52.0,44.0,3.0,2.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,87.0,1663.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31.0,1.0,2.0,27.0,63.0,57.0,14.0,9.0,17.0,3.0,3.0,13.0,3.0,5.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,440.0
42.0,5.0,4.0,62.0,92.0,118.0,13.0,12.0,15.0,2.0,5.0,14.0,11.0,9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,36.0,778.0
41.0,1.0,4.0,47.0,71.0,77.0,15.0,20.0,9.0,4.0,2.0,22.0,18.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,599.0
48.0,5.0,4.0,67.0,109.0,113.0,13.0,13.0,10.0,10.0,5.0,15.0,22.0,1.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,761.0
59.0,5.0,9.0,75.0,138.0,144.0,26.0,21.0,18.0,18.0,3.0,28.0,34.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1088.0
36.0,2.0,1.0,52.0,112.0,87.0,15.0,13.0,18.0,9.0,3.0,20.0,12.0,2.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,647.0
43.0,3.0,5.0,76.0,56.0,111.0,18.0,9.0,4.0,4.0,1.0,11.0,26.0,2.0,2.0,1.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,660.0
